receiver_id,fantasy_id,receiver,rec,air_yards,yards_per_target,yards_after_catch,td_rate,outside_rec,dist_from_sticks,first_down,posteam,position
00-0027944,00-0027944,J.Jones,31,12.081632653061224,6.543859649122807,4.548387096774194,0.05263157894736842,0.8148148148148148,4.387755102040816,0.3157894736842105,TB,WR
00-0028002,00-0028002,R.Cobb,34,9.58695652173913,7.867924528301887,5.4411764705882355,0.018867924528301886,0.66,1.8478260869565217,0.41509433962264153,GB,WR
00-0030035,00-0030035,A.Thielen,73,9.458715596330276,6.4,2.1506849315068495,0.05,0.7657657657657657,1.6697247706422018,0.475,MIN,WR
00-0030061,00-0030061,Z.Ertz,47,7.032258064516129,5.694444444444445,2.765957446808511,0.05555555555555555,0.5942028985507246,0,0.3472222222222222,ARI,TE
00-0030068,00-0030068,M.Goodwin,27,9.805555555555555,8.795454545454545,4.222222222222222,0.09090909090909091,0.7857142857142857,2.4444444444444446,0.4090909090909091,SEA,WR
00-0030279,00-0030279,K.Allen,72,7.211111111111111,7.80188679245283,4.125,0.03773584905660377,0.7843137254901961,0.06666666666666667,0.4339622641509434,LAC,WR
00-0030431,00-0030431,R.Woods,53,7.609756097560975,5.666666666666667,2.943396226415094,0.021505376344086023,0.7912087912087912,0.14634146341463414,0.34408602150537637,TEN,WR
00-0030564,00-0030564,D.Hopkins,64,9.255813953488373,7.099009900990099,2.578125,0.0297029702970297,0.875,1.872093023255814,0.3564356435643564,ARI,WR
00-0031236,00-0031236,B.Cooks,57,9.219780219780219,6.920792079207921,3.5964912280701755,0.0297029702970297,0.8924731182795699,1.3626373626373627,0.33663366336633666,HOU,WR
00-0031260,00-0031260,L.Thomas,39,7.222222222222222,5.046875,3.230769230769231,0.015625,0.6721311475409836,-0.48148148148148145,0.25,WAS,TE
00-0031381,00-0031381,D.Adams,100,11.46875,7.93717277486911,4.93,0.07329842931937172,0.7277777777777777,3.7625,0.3769633507853403,LV,WR
00-0031408,00-0031408,M.Evans,83,11.978260869565217,8.013245033112582,2.8072289156626504,0.039735099337748346,0.7971014492753623,4.536231884057971,0.4370860927152318,TB,WR
00-0031428,00-0031428,Al.Robinson,33,9.395833333333334,6.39622641509434,2.1515151515151514,0.05660377358490566,0.8076923076923077,2.7708333333333335,0.4528301886792453,LA,WR
00-0031544,00-0031544,A.Cooper,78,10.84,8.169014084507042,4.166666666666667,0.06338028169014084,0.8863636363636364,3.512,0.47183098591549294,CLE,WR
00-0031547,00-0031547,D.Parker,31,15.642857142857142,10.78,3.3870967741935485,0.06,0.8085106382978723,7.738095238095238,0.56,NE,WR
00-0031549,00-0031549,N.Agholor,31,12.227272727272727,6.581818181818182,4.741935483870968,0.03636363636363636,0.7547169811320755,4.363636363636363,0.2545454545454545,NE,WR
00-0031588,00-0031588,S.Diggs,119,10.083832335329342,8.438502673796792,3.689075630252101,0.058823529411764705,0.8670520231213873,2.269461077844311,0.46524064171123,BUF,WR
00-0031610,00-0031610,D.Waller,28,11.45,8.083333333333334,2.857142857142857,0.0625,0.6046511627906976,3.9,0.4375,LV,TE
00-0031763,00-0031763,D.Carter,48,8.544117647058824,7.928571428571429,4.395833333333333,0.04285714285714286,0.8088235294117647,1.1911764705882353,0.45714285714285713,LAC,WR
00-0032211,00-0032211,T.Lockett,90,9.572727272727272,8.06015037593985,3.111111111111111,0.06766917293233082,0.808,1.8,0.44360902255639095,SEA,WR
00-0032392,00-0032392,A.Hooper,41,7.7894736842105265,7.0476190476190474,3.268292682926829,0.031746031746031744,0.6666666666666666,0.2631578947368421,0.4603174603174603,TEN,TE
00-0032398,00-0032398,C.Moore,48,8.73611111111111,7.0256410256410255,5.479166666666667,0.02564102564102564,0.8243243243243243,0.75,0.358974358974359,HOU,WR
00-0032464,00-0032464,K.Raymond,47,9.685185185185185,9.194029850746269,4.638297872340425,0,0.78125,1.5555555555555556,0.3880597014925373,DET,WR
00-0032775,00-0032775,D.Robinson,50,9.185714285714285,6.2592592592592595,3.3,0.037037037037037035,0.7948717948717948,0.5142857142857142,0.3333333333333333,BAL,WR
00-0033009,00-0033009,T.Boyd,64,8.64367816091954,8.793814432989691,4.109375,0.05154639175257732,0.7640449438202247,1.5172413793103448,0.5051546391752577,CIN,WR
00-0033040,00-0033040,T.Hill,126,11.680473372781066,8.905,4.103174603174603,0.035,0.6918918918918919,3.923076923076923,0.45,MIA,WR
00-0033090,00-0033090,H.Henry,41,7.490566037735849,8.344262295081966,4.951219512195122,0.03278688524590164,0.864406779661017,0.20754716981132076,0.39344262295081966,NE,TE
00-0033282,00-0033282,C.Samuel,64,6.329545454545454,6.56,4.515625,0.04,0.6739130434782609,-0.7272727272727273,0.38,WAS,WR
00-0033288,00-0033288,G.Kittle,70,6.443181818181818,8.951923076923077,6.228571428571429,0.10576923076923077,0.6494845360824743,-1.1704545454545454,0.4326923076923077,SF,TE
00-0033307,00-0033307,K.Bourne,35,10.255813953488373,8.509803921568627,4.142857142857143,0.0196078431372549,0.7708333333333334,2.13953488372093,0.43137254901960786,NE,WR
00-0033466,00-0033466,I.McKenzie,44,6.85,6.27536231884058,3.272727272727273,0.057971014492753624,0.8059701492537313,-0.38333333333333336,0.42028985507246375,BUF,WR
00-0033536,00-0033536,M.Williams,63,11.31578947368421,9.623655913978494,5.063492063492063,0.043010752688172046,0.8709677419354839,4.0131578947368425,0.41935483870967744,LAC,WR
00-0033572,00-0033572,J.Agnew,26,4.413793103448276,5.444444444444445,5.076923076923077,0.08333333333333333,0.8235294117647058,-3.0689655172413794,0.2777777777777778,JAX,WR
00-0033591,00-0033591,N.Brown,47,9.20253164556962,6.827586206896552,3.4468085106382977,0.034482758620689655,0.7564102564102564,1.7468354430379747,0.39080459770114945,DAL,WR
00-0033757,00-0033757,R.Tonyan,53,5.066666666666666,6.444444444444445,4.339622641509434,0.027777777777777776,0.5522388059701493,-2.85,0.3333333333333333,GB,TE
00-0033857,00-0033857,J.Smith-Schuster,88,6.548076923076923,8.6610169491525415,5.511363636363637,0.025423728813559324,0.7610619469026548,-1,0.4915254237288136,KC,WR
00-0033871,00-0033871,C.Davis,32,12.303571428571429,8.246153846153845,3.40625,0.03076923076923077,0.65625,4.875,0.4307692307692308,NYJ,WR
00-0033881,00-0033881,E.Engram,85,5.252427184466019,7.193548387096774,6.5058823529411764,0.04032258064516129,0.7391304347826086,-2.0776699029126213,0.3709677419354839,JAX,TE
00-0033885,00-0033885,D.Njoku,58,5.2592592592592595,7.218390804597701,5.827586206896552,0.04597701149425287,0.7375,-2.4074074074074074,0.42528735632183906,CLE,TE
00-0033891,00-0033891,Z.Jones,95,8.546875,6.848275862068966,3.1789473684210527,0.041379310344827586,0.851063829787234,1.1640625,0.35172413793103446,JAX,WR
00-0033895,00-0033895,G.Everett,64,5.197530864197531,6.9375,6.265625,0.052083333333333336,0.8105263157894737,-2.5925925925925926,0.3541666666666667,LAC,TE
00-0033921,00-0033921,C.Godwin,114,5.075342465753424,6.785276073619632,5.087719298245614,0.018404907975460124,0.6451612903225806,-2.136986301369863,0.3619631901840491,TB,WR
00-0033943,00-0033943,J.Reynolds,38,11.45,7.603174603174603,3.026315789473684,0.047619047619047616,0.7966101694915254,4.716666666666667,0.4444444444444444,DET,WR
00-0034159,00-0034159,W.Dissly,34,4.285714285714286,8.725,5.411764705882353,0.075,0.7368421052631579,-4.057142857142857,0.55,SEA,TE
00-0034270,00-0034270,T.Conklin,58,7.205479452054795,6.202247191011236,5.051724137931035,0.033707865168539325,0.7471264367816092,-0.4794520547945205,0.2808988764044944,NYJ,TE
00-0034272,00-0034272,M.Valdes-Scantling,49,12.210526315789474,7.931372549019608,3.836734693877551,0.0392156862745098,0.8043478260869565,4.863157894736842,0.45098039215686275,KC,WR
00-0034286,00-0034286,R.James,68,6.287671232876712,7.233333333333333,3.235294117647059,0.044444444444444446,0.5813953488372093,-1.3835616438356164,0.4111111111111111,NYG,WR
00-0034348,00-0034348,C.Sutton,64,11.46236559139785,7.02542372881356,2.375,0.01694915254237288,0.8073394495412844,4.010752688172043,0.3728813559322034,DEN,WR
00-0034351,00-0034351,D.Goedert,71,5.614457831325301,9.16304347826087,6.661971830985915,0.043478260869565216,0.735632183908046,-2.7710843373493974,0.5434782608695652,PHI,TE
00-0034364,00-0034364,J.Akins,37,5.6415094339622645,8.423728813559322,7.297297297297297,0.0847457627118644,0.7037037037037037,-1.679245283018868,0.423728813559322,HOU,TE
00-0034383,00-0034383,D.Schultz,69,7.161290322580645,6.3545454545454545,3.217391304347826,0.07272727272727272,0.6822429906542056,-1,0.32727272727272727,DAL,TE
00-0034411,00-0034411,R.Gage,53,4.780821917808219,5.325301204819277,3.4716981132075473,0.060240963855421686,0.7435897435897436,-2.3835616438356166,0.39759036144578314,TB,WR
00-0034487,00-0034487,T.Sherfield,30,9.658536585365853,7.581818181818182,4.833333333333333,0.03636363636363636,0.7735849056603774,2.1707317073170733,0.34545454545454546,MIA,WR
00-0034521,00-0034521,A.Lazard,60,11.333333333333334,7.576923076923077,4.133333333333334,0.057692307692307696,0.74,4.354166666666667,0.46153846153846156,GB,WR
00-0034753,00-0034753,M.Andrews,78,9.078947368421053,7.092307692307692,3.423076923076923,0.038461538461538464,0.6829268292682927,1.2894736842105263,0.4307692307692308,BAL,TE
00-0034764,00-0034764,M.Gallup,44,10.582278481012658,5.402298850574713,2.6363636363636362,0.05747126436781609,0.9036144578313253,3.7468354430379747,0.3793103448275862,DAL,WR
00-0034775,00-0034775,C.Kirk,99,8.408450704225352,7.412121212121212,4.141414141414141,0.06060606060606061,0.7329192546583851,0.6690140845070423,0.38181818181818183,JAX,WR
00-0034777,00-0034777,D.Chark,30,14.7,9.471698113207546,4.466666666666667,0.05660377358490566,0.8076923076923077,7.58,0.4716981132075472,DET,WR
00-0034827,00-0034827,D.Moore,63,11.666666666666666,7.0236220472440944,2.888888888888889,0.05511811023622047,0.8135593220338984,3.7982456140350878,0.3779527559055118,CAR,WR
00-0034829,00-0034829,M.Gesicki,34,8.134615384615385,6.283333333333333,2.9411764705882355,0.1,0.6896551724137931,0.75,0.36666666666666664,MIA,TE
00-0034830,00-0034830,H.Hurst,65,5.194805194805195,6.166666666666667,3.876923076923077,0.03333333333333333,0.788235294117647,-2.3376623376623376,0.4111111111111111,CIN,TE
00-0034960,00-0034960,J.Meyers,67,9.054347826086957,7.5327102803738315,3.5522388059701493,0.056074766355140186,0.7395833333333334,1.7934782608695652,0.411214953271028,NE,WR
00-0034970,00-0034970,I.Smith,26,4.645161290322581,4.868421052631579,3.5,0.07894736842105263,0.8157894736842105,-2.774193548387097,0.2631578947368421,MIN,TE
00-0034981,00-0034981,F.Moreau,33,7.869565217391305,7.636363636363637,7.181818181818182,0.03636363636363636,0.6296296296296297,-0.15217391304347827,0.43636363636363634,LV,TE
00-0034983,00-0034983,H.Renfrow,36,6.7555555555555555,6.346153846153846,4.138888888888889,0.038461538461538464,0.6,-0.7777777777777778,0.38461538461538464,LV,WR
00-0035208,00-0035208,O.Zaccheaus,40,10.446428571428571,8.2,4.725,0.046153846153846156,0.6721311475409836,2.625,0.4461538461538462,ATL,WR
00-0035229,00-0035229,T.Hockenson,96,7.110169491525424,7.006756756756757,4.875,0.04054054054054054,0.7214285714285714,-0.3559322033898305,0.3581081081081081,MIN,TE
00-0035500,00-0035500,G.Dortch,52,3.7708333333333335,7.184615384615385,5.634615384615385,0.03076923076923077,0.828125,-4.208333333333333,0.2923076923076923,ARI,WR
00-0035535,00-0035535,D.Slayton,51,10.961538461538462,8.967032967032967,6.019607843137255,0.02197802197802198,0.8452380952380952,2.5641025641025643,0.43956043956043955,NYG,WR
00-0035639,00-0035639,P.Campbell,63,5.670731707317073,6.422680412371134,4.380952380952381,0.030927835051546393,0.7472527472527473,-1.646341463414634,0.3711340206185567,IND,WR
00-0035644,00-0035644,N.Fant,51,5.483333333333333,7.1,4.549019607843137,0.05714285714285714,0.7230769230769231,-2.25,0.38571428571428573,SEA,TE
00-0035659,00-0035659,T.McLaurin,77,11.89090909090909,9.377952755905511,5.116883116883117,0.03937007874015748,0.75,3.8363636363636364,0.4881889763779528,WAS,WR
00-0035662,00-0035662,M.Brown,67,10.484848484848484,6.05982905982906,3.5223880597014925,0.02564102564102564,0.8598130841121495,2.9494949494949494,0.3333333333333333,ARI,WR
00-0035676,00-0035676,A.Brown,101,11.853333333333333,9.1731843575419,5.930693069306931,0.0670391061452514,0.8143712574850299,4.026666666666666,0.40782122905027934,PHI,WR
00-0035689,00-0035689,D.Knox,56,7.756756756756757,7.525,3.857142857142857,0.0875,0.8441558441558441,-0.36486486486486486,0.425,BUF,TE
00-0035719,00-0035719,D.Samuel,69,4.732673267326732,7.025,9.391304347826088,0.025,0.7304347826086957,-3.089108910891089,0.2916666666666667,SF,WR
00-0036040,00-0036040,J.Johnson,42,8.298245614035087,7.582089552238806,4.214285714285714,0.1044776119402985,0.676923076923077,1.0526315789473684,0.417910447761194,NO,TE
00-0036165,00-0036165,I.Hodgins,46,8.456140350877194,7.84375,2.6739130434782608,0.078125,0.711864406779661,1.0701754385964912,0.453125,NYG,WR
00-0036232,00-0036232,H.Bryant,31,5.324324324324325,5.431818181818182,3.6451612903225805,0.022727272727272728,0.7380952380952381,-2.189189189189189,0.2727272727272727,CLE,TE
00-0036233,00-0036233,D.Peoples-Jones,61,11.155555555555555,8.067307692307692,3.1311475409836067,0.028846153846153848,0.8333333333333334,3.4444444444444446,0.375,CLE,WR
00-0036244,00-0036244,C.Parkinson,28,7.342105263157895,8.195121951219512,5.535714285714286,0.04878048780487805,0.825,0.15789473684210525,0.36585365853658536,SEA,TE
00-0036252,00-0036252,M.Pittman,99,6.626865671641791,6.292517006802721,3.606060606060606,0.027210884353741496,0.624113475177305,-0.8059701492537313,0.3673469387755102,IND,WR
00-0036259,00-0036259,J.Jennings,39,8.236363636363636,7.546875,4.897435897435898,0.015625,0.7301587301587301,0.9636363636363636,0.4375,SF,WR
00-0036261,00-0036261,B.Aiyuk,84,9.791304347826086,8.388059701492537,4.904761904761905,0.05970149253731343,0.7016129032258065,1.4,0.44029850746268656,SF,WR
00-0036268,00-0036268,L.Shenault,27,-0.041666666666666664,8.5,12.222222222222221,0.03125,0.90625,-7.375,0.3125,CAR,WR
00-0036290,00-0036290,C.Kmet,50,6.393939393939394,7.4520547945205475,5.72,0.0958904109589041,0.782608695652174,-1.5909090909090908,0.3972602739726027,CHI,TE
00-0036309,00-0036309,D.Mooney,40,12.160714285714286,7.825396825396825,4.1,0.031746031746031744,0.8688524590163934,4.339285714285714,0.3333333333333333,CHI,WR
00-0036322,00-0036322,J.Jefferson,135,9.491525423728813,9.02415458937198,4.626865671641791,0.03864734299516908,0.84375,2.1242937853107344,0.45893719806763283,MIN,WR
00-0036326,00-0036326,C.Claypool,46,9.44927536231884,5.573170731707317,3.239130434782609,0.012195121951219513,0.8354430379746836,1.6376811594202898,0.3170731707317073,PIT,WR
00-0036345,00-0036345,K.Osborn,62,7.448275862068965,6.767676767676767,4.903225806451613,0.06060606060606061,0.7311827956989247,-0.3218390804597701,0.37373737373737376,MIN,WR
00-0036358,00-0036358,C.Lamb,121,9.540372670807454,8.437158469945356,4.4958677685950414,0.0546448087431694,0.7142857142857143,1.9006211180124224,0.4371584699453552,DAL,WR
00-0036407,00-0036407,J.Jeudy,67,11.191489361702128,9.169811320754716,5.850746268656716,0.05660377358490566,0.83,3.2872340425531914,0.42452830188679247,DEN,WR
00-0036410,00-0036410,T.Higgins,87,10.185483870967742,8.435714285714285,3.67816091954023,0.05714285714285714,0.8461538461538461,2.653225806451613,0.42142857142857143,CIN,WR
00-0036613,00-0036613,J.Waddle,78,11.827272727272728,10.687022900763358,6.615384615384615,0.061068702290076333,0.6532258064516129,4.109090909090909,0.5038167938931297,MIA,WR
00-0036637,00-0036637,N.Gray,31,4.9714285714285715,8.615384615384615,6.516129032258065,0.02564102564102564,0.7894736842105263,-3.142857142857143,0.38461538461538464,KC,TE
00-0036862,00-0036862,B.Skowronek,39,6.4423076923076925,6.064516129032258,3.5128205128205128,0,0.7868852459016393,-1.3461538461538463,0.27419354838709675,LA,WR
00-0036876,00-0036876,K.Granson,31,5.947368421052632,6.863636363636363,4.096774193548387,0,0.825,-2.263157894736842,0.38636363636363635,IND,TE
00-0036894,00-0036894,P.Freiermuth,63,7.655555555555556,7.106796116504855,4.619047619047619,0.019417475728155338,0.6530612244897959,0.03333333333333333,0.3786407766990291,PIT,TE
00-0036900,00-0036900,J.Chase,107,8.412903225806451,7.447058823529412,5,0.06470588235294118,0.8148148148148148,0.9096774193548387,0.43529411764705883,CIN,WR
00-0036936,00-0036936,R.Moore,41,5.666666666666667,6.786885245901639,6.853658536585366,0.01639344262295082,0.8571428571428571,-2.2941176470588234,0.3114754098360656,ARI,WR
00-0036955,00-0036955,T.Marshall,28,11.166666666666666,10.489795918367347,4.714285714285714,0.02040816326530612,0.9361702127659575,3.3333333333333335,0.5102040816326531,CAR,WR
00-0036963,00-0036963,A.St. Brown,106,6.778625954198473,8.047945205479452,4.962264150943396,0.0410958904109589,0.773972602739726,-0.8473282442748091,0.4657534246575342,DET,WR
00-0036980,00-0036980,E.Moore,37,11.339285714285714,6.521739130434782,2.6216216216216215,0.014492753623188406,0.8461538461538461,3.5,0.34782608695652173,NYJ,WR
00-0036988,00-0036988,J.Palmer,74,7.6,6.520325203252033,3.5675675675675675,0.024390243902439025,0.8761061946902655,0.3047619047619048,0.3902439024390244,LAC,WR
00-0037247,00-0037247,G.Pickens,52,12.6375,8.364583333333334,2,0.041666666666666664,0.8452380952380952,5.2125,0.4479166666666667,PIT,WR
00-0037545,00-0037545,R.Shaheed,28,11.451612903225806,14.352941176470589,6.071428571428571,0.058823529411764705,0.8529411764705882,3.7096774193548385,0.5294117647058824,NO,WR
00-0037664,00-0037664,A.Pierce,41,10.348484848484848,7.144578313253012,2.7560975609756095,0.024096385542168676,0.8333333333333334,2.196969696969697,0.37349397590361444,IND,WR
00-0037740,00-0037740,G.Wilson,82,9.86923076923077,7.342105263157895,4.7926829268292686,0.02631578947368421,0.7808219178082192,2.207692307692308,0.39473684210526316,NYJ,WR
00-0037742,00-0037742,T.Burks,33,10.823529411764707,7.655172413793103,4.878787878787879,0.017241379310344827,0.7222222222222222,3.176470588235294,0.3793103448275862,TEN,WR
00-0037744,00-0037744,T.McBride,29,5.65625,6.309523809523809,4.0344827586206895,0.023809523809523808,0.8717948717948718,-2.15625,0.30952380952380953,ARI,TE
00-0037809,00-0037809,C.Okonkwo,32,8.717948717948717,9.416666666666666,7.9375,0.0625,0.8043478260869565,0.8717948717948718,0.4583333333333333,TEN,TE
00-0037816,00-0037816,R.Doubs,42,9.517241379310345,6.159420289855072,4.666666666666667,0.043478260869565216,0.7910447761194029,1.8448275862068966,0.30434782608695654,GB,WR
00-0037838,00-0037838,I.Likely,36,6.647058823529412,5.828125,4.194444444444445,0.046875,0.5833333333333334,-1.2941176470588236,0.328125,BAL,TE
00-0038090,00-0038090,S.Moore,27,6.674418604651163,6.068181818181818,6.2592592592592595,0.022727272727272728,0.6904761904761905,-1.744186046511628,0.3409090909090909,KC,WR
00-0038115,00-0038115,D.Bellinger,33,3.973684210526316,6.928571428571429,4.818181818181818,0.07142857142857142,0.725,-3.6842105263157894,0.38095238095238093,NYG,TE
00-0038124,00-0038124,C.Watson,41,13.90625,8.985294117647058,6.7317073170731705,0.10294117647058823,0.7272727272727273,6.65625,0.4411764705882353,GB,WR
00-0038129,00-0038129,C.Otton,46,4.506849315068493,5.756410256410256,4.695652173913044,0.02564102564102564,0.6805555555555556,-2.9452054794520546,0.3076923076923077,TB,TE
